Nome,Idade,Sexo,Turma,Rm,Pontuacao,Num_simulacoes,Num_insignias
Michael Melton,19,M,10LPNZ,656073,555,2,3
Nicholas Knox,20,M,4LPNZ,682532,2590,3,14
Shari Boyd,47,F,5LPNW,128924,0,1,0
Samuel Parrish,37,M,8LPNZ,626258,740,2,4
Kaitlyn Simon,35,F,6LPNZ,759719,370,2,2
Daniel King,32,M,3LPNY,311462,1665,3,9
Tiffany Hale,37,F,2LPNZ,385091,0,2,0
Shannon Mitchell,47,F,4LPNW,933685,0,1,0
Bonnie Zimmerman,33,F,7LPNW,573253,2035,3,11
Mr. Jason Richardson,18,M,7LPNZ,136767,925,1,5
Roy Guerra,38,M,5LPNW,705801,185,2,1
Jacqueline Carson,27,F,6LPNX,298715,740,1,4
Lisa Blackwell,25,F,4LPNX,600104,1480,3,8
Michael Gonzalez,19,M,7LPNY,314563,1665,2,9
Dr. Kevin Glover Jr.,36,M,10LPNY,390627,925,1,5
Patrick Walker,33,M,10LPNZ,324318,2405,3,13
Crystal Ibarra,36,F,2LPNW,909726,2220,3,12
Tim Pitts,24,M,10LPNW,575873,0,3,0
Shari Banks,20,F,5LPNX,634278,370,1,2
Joseph Chan,28,M,7LPNY,566201,925,3,5
Kirk Brown,21,M,9LPNX,687556,555,1,3
Shannon Underwood,20,F,7LPNY,259295,185,1,1
Adam Wright,35,M,1LPNW,814685,1110,2,6
Kimberly Huff,45,F,10LPNW,148737,925,2,5
Sandra King,34,F,1LPNX,646627,185,2,1
Johnny Lynn,28,M,7LPNW,624337,1480,2,8
Douglas Hudson,36,M,4LPNY,747990,185,1,1
Albert Mitchell,31,M,1LPNX,970804,185,1,1
Andrew Myers,38,M,8LPNY,225212,555,1,3
Christine Smith,33,F,10LPNX,197934,925,1,5
Dawn Rodriguez,28,F,7LPNW,394401,555,1,3
Cynthia Faulkner,44,F,6LPNX,457015,370,3,2
Kelly Combs,31,F,3LPNZ,388476,1480,2,8
David Jones,19,M,9LPNY,528060,555,3,3
Mark Taylor,29,M,1LPNZ,556315,1480,2,8
Michelle Taylor,40,F,6LPNZ,822361,1665,2,9
Sarah Ortega,38,F,4LPNZ,727934,1110,3,6
Daniel Martin Jr.,48,M,5LPNX,365765,2405,3,13
Philip Flores,50,M,10LPNY,779021,185,1,1
Andrew Kim,45,M,2LPNX,716134,1295,3,7
Robert Hamilton,18,M,9LPNY,939319,740,1,4
Gary Blankenship,24,M,9LPNY,924305,925,3,5
Micheal Brown,32,M,5LPNY,360676,1665,2,9
Robert Grant,43,M,4LPNW,207815,1665,2,9
James Mclaughlin DDS,25,M,5LPNW,639848,1665,3,9
Lisa Anthony,25,F,8LPNW,347780,1850,2,10
Alexandra Mclaughlin,32,F,3LPNW,784726,555,2,3
Richard Palmer,20,M,6LPNY,409106,555,2,3
Patricia Silva,35,F,4LPNY,391457,2775,3,15
Jacob Rush,32,M,3LPNW,650311,185,3,1
Steven Davis,38,M,6LPNZ,321186,185,1,1
David Jefferson,41,M,2LPNZ,270384,185,1,1
Brandon Pugh,18,M,9LPNW,546471,1665,3,9
William Smith,25,M,9LPNZ,919724,0,2,0
Michelle Kim,43,F,7LPNY,333336,925,1,5
Eric Owens,30,M,2LPNZ,629881,185,2,1
Michael Monroe,18,M,5LPNZ,425119,740,2,4
Michael Carpenter,22,M,9LPNZ,951804,1295,2,7
Paula White,49,F,1LPNZ,151447,2775,3,15
Denise Gutierrez,27,F,2LPNY,414839,925,3,5
Stephen Brown,34,M,1LPNY,339129,0,3,0
Samantha Martin,18,F,4LPNW,365118,1480,2,8
Trevor Richardson,34,M,4LPNY,595574,1110,3,6
Gabrielle Ortega MD,44,F,10LPNW,455563,185,2,1
Travis Robinson,23,M,8LPNW,249470,185,1,1
Leah Orr,24,F,6LPNZ,890487,740,1,4
Christian Gonzalez,48,M,6LPNX,783114,925,1,5
Nathan Ward,32,M,1LPNZ,857782,0,3,0
Justin Williams,18,M,7LPNZ,641180,1110,2,6
Deborah Thompson,33,F,4LPNY,409699,1850,3,10
Dustin Simpson,43,M,9LPNZ,799519,0,1,0
Lisa Webb,22,F,4LPNZ,513981,370,1,2
Cathy Sharp,41,F,3LPNZ,831844,555,1,3
Amanda Herring,20,F,10LPNW,674563,740,3,4
Tamara Woods,49,F,8LPNX,683270,555,1,3
Tracey Hill,47,F,7LPNX,239772,1295,3,7
Donald Espinoza,26,M,1LPNX,160880,1295,3,7
Dillon Spears,47,M,7LPNX,622458,1665,3,9
Tammy James,22,F,1LPNY,878484,555,1,3
Jeffrey Williams,50,M,4LPNX,909659,370,2,2
Christopher Burns,24,M,10LPNX,133900,925,1,5
Melissa Short,40,F,2LPNW,376816,740,1,4
Derrick Burke,46,M,10LPNZ,499827,370,1,2
Deborah Jones,31,F,5LPNW,393549,555,3,3
Jonathan Gutierrez,37,M,10LPNW,456438,2590,3,14
Bradley Reeves,48,M,4LPNY,753338,0,3,0
Christina Stephens,43,F,8LPNX,453420,925,3,5
Kimberly Hicks,27,F,8LPNZ,151973,2405,3,13
David Miller,19,M,1LPNZ,416480,1665,3,9
Brandon Love,39,M,4LPNX,147571,1110,2,6
Angela Gilbert,25,F,9LPNW,665308,2775,3,15
Mr. Erik Nguyen,25,M,2LPNZ,191430,1295,2,7
Christine Daniels,34,F,6LPNY,291812,1665,2,9
Chase Cox,24,M,8LPNW,272675,2220,3,12
Vicki Harris,49,F,6LPNZ,175857,925,1,5
Mark Reid,49,M,4LPNX,855423,1850,2,10
Fernando Anderson,20,M,10LPNY,862550,2035,3,11
Joseph Fry,27,M,3LPNZ,382954,185,2,1
Brian Coleman,21,M,7LPNZ,813288,1110,2,6
Albert Greene,30,M,10LPNZ,546675,2035,3,11
Jade Walter DVM,43,F,3LPNY,382833,185,3,1
Jennifer Rodriguez,43,F,9LPNY,681568,2405,3,13
George Thomas,44,M,1LPNY,953419,370,1,2
Hayley Hernandez,19,F,6LPNW,696545,1850,2,10
Brandon Taylor,40,M,1LPNY,208439,1480,3,8
Carlos Brown,40,M,8LPNZ,511747,740,2,4
Taylor Smith,26,F,3LPNW,979955,185,1,1
Gary Elliott,24,M,5LPNZ,416137,2405,3,13
Karen Barrett,21,F,5LPNY,608175,555,3,3
Amber Mcbride,42,F,3LPNW,644519,370,3,2
Larry Walker,25,M,3LPNY,539914,1480,3,8
Allison Garrett,31,F,7LPNW,191241,740,3,4
Christopher Weaver,40,M,3LPNW,322849,0,1,0
Eric Brown,41,M,6LPNX,853031,555,1,3
Daniel Mitchell,26,M,8LPNY,188924,0,1,0
Juan Jackson,28,M,9LPNY,721314,1480,2,8
Jennifer Callahan,44,F,8LPNZ,845443,0,3,0
Brandon Jackson,20,M,9LPNY,898791,1850,2,10
Troy Fischer,41,M,8LPNZ,554590,185,1,1
Elizabeth Boyer,24,F,10LPNZ,262388,370,3,2
Casey Hopkins,20,M,2LPNY,395723,1665,3,9
Valerie Boone,23,F,4LPNY,269154,1665,3,9
Michael Ochoa,33,M,6LPNX,252861,925,1,5
Gary Long,34,M,7LPNX,454935,555,2,3
Patrick Smith,39,M,4LPNZ,353252,1110,2,6
Tanya Garcia,39,F,1LPNW,917287,1480,2,8
Raymond Krause,30,M,1LPNX,203111,925,2,5
James Brady,48,M,5LPNZ,322195,370,2,2
Christopher Reed,42,M,2LPNY,114732,1850,3,10
Paul Fowler,18,M,7LPNX,942365,0,3,0
Hector Murray,48,M,7LPNY,286097,0,1,0
Brian Dougherty,44,M,5LPNZ,468595,370,1,2
Randall Roberts,39,M,6LPNY,180066,185,1,1
Robert Hancock,37,M,1LPNW,898533,2035,3,11
Diane Walker,20,F,7LPNY,752954,185,2,1
Brittany Lopez,24,F,6LPNW,725924,925,1,5
Christina Duke,23,F,10LPNX,809222,1850,3,10
Heather Graham,31,F,1LPNX,989631,370,3,2
Dustin Butler,49,M,3LPNZ,661956,370,2,2
Erin Fields,39,F,10LPNY,614369,740,1,4
Richard Lee,18,M,3LPNY,577990,1850,3,10
Jeanette Gonzalez,43,F,4LPNY,372732,740,1,4
Robert Arroyo,19,M,1LPNZ,593098,740,2,4
Mrs. Jennifer Juarez DDS,41,F,1LPNZ,283095,925,1,5
Lisa White,45,F,7LPNX,355637,740,2,4
Brandon Russell,41,M,4LPNZ,569512,370,1,2
Ricky Williams,28,M,4LPNW,944145,370,1,2
Courtney Mcbride,40,F,4LPNZ,711853,740,1,4
Adrienne Day,33,F,4LPNX,683880,0,1,0
Monique Terrell,48,F,3LPNX,703971,0,3,0
Victoria Brown,23,F,4LPNZ,281421,925,1,5
Louis Atkins,30,M,2LPNX,774163,1480,3,8
Jennifer Harrison,45,F,10LPNZ,640453,370,2,2
Amy Lopez,22,F,5LPNZ,780215,185,1,1
Whitney Cabrera,46,F,5LPNZ,320838,185,1,1
Tyler Martinez,20,M,4LPNY,198351,1665,2,9
Jennifer Scott,41,F,10LPNY,841519,2590,3,14
Jacob Murphy,50,M,7LPNZ,691716,1850,3,10
Patricia Brown,43,F,5LPNW,516961,555,3,3
Shaun Long,19,M,10LPNY,280385,0,1,0
Brian Garcia,48,M,10LPNX,283638,185,1,1
John York,34,M,2LPNW,884974,370,1,2
Wesley Nelson,38,M,10LPNY,560146,1850,3,10
Nicholas Anderson,44,M,8LPNY,260884,185,1,1
Linda Mills,35,F,2LPNY,542250,0,1,0
Kirk Davis,28,M,5LPNY,991800,370,1,2
Stacey Jones,48,F,10LPNZ,856348,925,1,5
Bradley Reeves,26,M,10LPNZ,865235,1295,2,7
Michael Washington,48,M,4LPNW,396535,185,3,1
Kimberly Hall,30,F,10LPNY,455857,925,1,5
Mr. David Burton III,34,M,5LPNW,279183,370,1,2
Dennis Smith,23,M,5LPNY,412363,555,1,3
Robert Harvey,30,M,6LPNW,724603,1850,2,10
Justin Torres,33,M,6LPNZ,199276,1665,3,9
Monique Bishop,29,F,8LPNY,187918,1480,3,8
Adam Ruiz,28,M,6LPNZ,320807,185,1,1
Madison Erickson,46,F,6LPNX,496709,555,3,3
Christopher Morris,20,M,9LPNX,971317,740,2,4
Lisa Lopez,33,F,7LPNW,261705,2775,3,15
Bruce Fisher,30,M,2LPNZ,303354,0,3,0
Ryan Montoya,29,M,10LPNW,237997,0,1,0
Taylor Dominguez,48,F,4LPNX,526900,370,1,2
Emily Lewis,37,F,4LPNX,851174,1295,3,7
Tiffany Harris,50,F,10LPNW,915607,1665,3,9
Amy Foster,19,F,7LPNZ,262305,1295,3,7
Angela Taylor,19,F,7LPNW,525964,0,2,0
Morgan Olson,46,F,8LPNY,229964,925,1,5
Lee Ramirez,42,M,10LPNZ,738820,925,1,5
Richard Moore,49,M,2LPNZ,541036,185,2,1
Aaron Sanchez,27,M,10LPNX,369263,1850,3,10
Joann Russo,35,F,5LPNX,932942,0,1,0
Sarah Pollard,21,F,8LPNX,638176,925,3,5
John Lee,20,M,8LPNW,447834,1295,3,7
Kyle Roth,21,M,1LPNZ,697589,740,3,4
Zachary Dunn,19,M,6LPNZ,130319,740,3,4
Erin Jones,46,F,5LPNX,170754,1480,2,8
Stephanie Foster,30,F,2LPNW,970731,1480,3,8
Jeffrey Shah,24,M,7LPNW,913212,2775,3,15
Lauren Lynn,39,F,9LPNW,248258,555,1,3
Matthew White,45,M,5LPNW,458272,740,1,4
Carrie Francis MD,42,F,5LPNW,629504,555,3,3
Teresa Martinez,22,F,6LPNX,670510,740,3,4
Patrick Miller,24,M,7LPNX,898079,185,2,1
Donna Lee,50,F,8LPNW,476664,740,2,4
Tracy Baker,40,F,2LPNY,559690,0,1,0
Wesley Ward,38,M,4LPNW,567294,370,1,2
Amy Garrett,40,F,8LPNZ,260451,0,2,0
Jose Griffith,39,M,2LPNY,781151,1850,2,10
John Mcbride,38,M,9LPNY,370129,1665,3,9
John Kim,19,M,5LPNY,725909,185,2,1
Nathaniel Everett,42,M,4LPNW,838522,925,1,5
Mrs. Donna Sanchez,49,F,9LPNW,366167,925,1,5
Charles Strickland,28,M,7LPNX,974086,370,1,2
Randy Torres,37,M,10LPNX,886150,370,1,2
Nicolas Maxwell,18,M,4LPNX,851210,0,3,0
Bryan Parker,42,M,1LPNW,753964,740,1,4
Michael Kaufman,38,M,4LPNX,953502,740,1,4
Lauren Marshall,42,F,10LPNZ,651265,1480,2,8
Sheri Olson,41,F,9LPNZ,518147,1480,2,8
Connor Jones,20,M,5LPNX,331045,1480,2,8
Mr. Kyle Fox DVM,25,M,7LPNZ,494949,925,3,5
Lisa Cross,44,F,7LPNW,892990,1665,2,9
Scott Kent,20,M,3LPNW,597020,925,1,5
Carmen Washington,49,F,6LPNY,637777,1110,2,6
Travis Larsen,35,M,5LPNZ,276458,740,1,4
Courtney Ruiz,32,F,10LPNX,104413,925,1,5
James Carter,26,M,1LPNW,380278,2220,3,12
Diane Hernandez,49,F,10LPNW,956675,2590,3,14
Pamela Doyle,50,F,7LPNY,268368,1665,3,9
Sarah Scott,41,F,4LPNW,454090,740,2,4
Nicole Smith,41,F,5LPNW,378996,925,1,5
Brandon Guerra,41,M,6LPNZ,413162,370,1,2
Jennifer Baxter,50,F,8LPNY,465993,555,2,3
Angel Martin,40,M,10LPNY,732569,0,1,0
Shannon Santos,42,F,6LPNY,653980,555,1,3
Michael Gardner,19,M,4LPNY,818944,740,2,4
Monica Barton,25,F,8LPNX,977163,370,2,2
Terry Nelson,19,M,3LPNX,380642,925,1,5
Kimberly Guerra,43,F,6LPNY,560791,2405,3,13
Brent Wilcox,40,M,4LPNY,509237,1295,2,7
Terry Holmes,20,M,4LPNY,872481,925,3,5
Casey Adams,40,F,7LPNW,383315,2590,3,14
Andrew Richards,32,M,1LPNW,228858,185,2,1
Michael Bowen,46,M,3LPNX,914954,370,3,2
James Kennedy,19,M,5LPNW,603825,2405,3,13
Emily Jones,34,F,2LPNZ,508651,0,1,0
Anthony Dixon,30,M,8LPNW,856575,1480,3,8
Lauren Perez,21,F,2LPNY,925941,1110,2,6
Ashley Good,36,F,2LPNY,694961,1850,3,10
Peter Kelly,31,M,5LPNY,564887,1110,2,6
Richard Smith,19,M,2LPNZ,967303,0,3,0
David Vargas,36,M,2LPNY,243874,2590,3,14
Anthony James,31,M,8LPNW,116201,370,1,2
Joshua Macias,32,M,4LPNX,411730,1665,3,9
Samuel Willis,26,M,10LPNZ,167301,1665,2,9
Brian Barnes,23,M,5LPNZ,932094,370,2,2
Brian Cook,45,M,8LPNW,830254,370,2,2
Joel Ashley,46,M,9LPNY,495257,1665,3,9
Sara Arnold,21,F,2LPNZ,253131,740,1,4
Adam Alexander,23,M,8LPNZ,309692,370,1,2
Ashley Hammond,26,F,7LPNW,229869,925,3,5
Tracy Jimenez,41,M,6LPNZ,722889,740,2,4
Tracy Villegas,32,F,10LPNZ,345616,740,2,4
Rebecca Bernard,36,F,6LPNX,972472,555,1,3
Kelly Ross,43,F,10LPNX,989946,555,1,3
Laura Hester,47,F,9LPNW,881269,185,1,1
Albert Alvarez,47,M,7LPNZ,729069,0,2,0
Wendy Callahan,40,F,2LPNY,185331,1850,3,10
Kimberly Freeman,42,F,8LPNX,120813,925,1,5
Alexandria Robinson,40,F,3LPNY,990212,1480,2,8
Heather Anderson,25,F,2LPNZ,969273,740,1,4
Jessica Gibbs,38,F,4LPNW,643378,1665,3,9
Ashley Brooks,43,F,5LPNY,589433,740,1,4
Thomas Elliott,42,M,6LPNZ,316820,555,1,3
Jennifer Booth,48,F,9LPNX,909374,185,1,1
Andrew Wallace,31,M,7LPNW,232244,185,1,1
Randy Harrington,39,M,4LPNW,460155,740,2,4
Martin Hayes,25,M,4LPNX,746300,1850,3,10
Zachary Frey,26,M,4LPNW,695980,370,2,2
Peter Sims,18,M,7LPNY,505223,925,1,5
Lori Strickland,29,F,7LPNY,125198,185,2,1
Emily Daniel,45,F,5LPNY,511775,0,2,0
Jon Marshall,48,M,5LPNX,724932,0,1,0
Theresa Edwards,27,F,6LPNX,763186,1665,3,9
Joseph Hooper,31,M,5LPNX,590963,1665,3,9
Samuel Johnson,29,M,3LPNZ,568875,370,2,2
Pedro Hancock,26,M,4LPNZ,475294,370,1,2
Kenneth Smith,47,M,2LPNY,470351,185,2,1
Nathaniel Brown,30,M,10LPNY,135981,925,1,5
Amber Hansen,36,F,8LPNY,566220,1850,2,10
Taylor Johnston,49,M,2LPNZ,927451,185,1,1
Ashley Ortega,38,F,10LPNY,558461,555,1,3
Carolyn Nunez,49,F,9LPNZ,719700,555,1,3
Suzanne Winters,39,F,5LPNY,969939,370,2,2
Robert Davis,21,M,3LPNY,486449,370,3,2
Eric Knox,35,M,8LPNZ,574586,0,1,0
Lonnie Hoffman,28,M,2LPNY,502676,2590,3,14
Laura Armstrong,47,F,10LPNZ,228474,0,1,0
Patricia Haynes,32,F,10LPNZ,760535,740,1,4
Keith Scott,35,M,4LPNW,664208,185,3,1
Lori Thompson,24,F,9LPNY,623325,925,1,5
Wyatt Mcdaniel,47,M,1LPNZ,314089,555,1,3
Alexander James,19,M,5LPNW,956689,2220,3,12
David Larson,49,M,2LPNW,185403,1110,2,6
David White,43,M,4LPNW,832889,740,1,4
Christina Edwards,23,F,8LPNX,517621,1665,3,9
Jaime Saunders,19,F,8LPNZ,176965,740,1,4
Michael Hoover,21,M,3LPNX,568373,740,2,4
Raymond Velez,45,M,6LPNY,717837,1665,2,9
Rhonda King,46,F,4LPNZ,714032,2035,3,11
Edward Pace,46,M,9LPNY,493051,185,1,1
Kelly Johnson,25,F,1LPNZ,739423,1850,3,10
Brett Bell,43,M,3LPNZ,821746,740,1,4
Robert Compton,28,M,2LPNX,447558,740,1,4
Noah Adams,22,M,9LPNW,957092,740,2,4
Michael Snyder,28,M,7LPNY,460746,925,1,5
Danielle Morales,37,F,8LPNW,739514,185,3,1
Melissa Owens,32,F,3LPNW,719570,2590,3,14
Stephanie Reeves,18,F,5LPNX,962508,1110,2,6
Tyler House,20,M,5LPNX,155095,1110,2,6
Joshua Tyler,37,M,10LPNW,417132,1665,3,9
Stephen Wang,36,M,2LPNZ,744991,925,2,5
Aaron Ellison,26,M,2LPNX,408522,740,1,4
Ronald Estes,37,M,4LPNW,339807,925,1,5
Darlene Tran,24,F,7LPNX,814445,1295,3,7
Stephanie Mueller,22,F,4LPNX,677897,555,1,3
Joe Bradley,40,M,7LPNZ,451621,185,1,1
Sara Short,50,F,8LPNY,902734,925,3,5
James Wells,22,M,3LPNW,494329,1295,3,7
Kimberly Hayes,45,F,3LPNW,617037,740,1,4
Michael Morris,43,M,9LPNW,116699,185,1,1
Kyle Ellis,35,M,7LPNX,764762,0,2,0
Kevin Elliott,37,M,3LPNX,211476,185,3,1
Melanie Reyes,33,F,7LPNW,574737,1110,2,6
Corey Brown,34,M,7LPNW,473293,0,2,0
Sheila Johnson,38,F,3LPNX,919290,555,1,3
Amanda Cooper,31,F,5LPNY,540558,185,2,1
Tracey Marquez,22,F,4LPNZ,345805,2405,3,13
Leslie Pena,40,F,10LPNZ,656111,1295,3,7
Lindsay Thornton,32,F,9LPNW,560197,555,1,3
Susan Kim,28,F,2LPNY,663509,185,3,1
Mr. Shane Jacobs,30,M,4LPNX,426160,185,1,1
Alexander Stephens,39,M,7LPNY,341110,185,3,1
Sydney Johnson,28,F,10LPNZ,736403,740,3,4
Anita Clark,27,F,8LPNY,289570,1850,3,10
Robin Cowan,46,F,7LPNW,272804,0,1,0
Maria Bender,28,F,2LPNW,291165,185,3,1
Kelli Sullivan,38,F,9LPNW,937333,1480,3,8
Amanda Werner,35,F,8LPNX,299454,2220,3,12
Daniel Watson,18,M,3LPNX,467723,1110,2,6
Stephanie Bryant,38,F,6LPNY,376049,1110,2,6
Sarah Robinson,24,F,6LPNZ,158881,1665,2,9
Rachel Cisneros,23,F,9LPNZ,235549,925,3,5
Erica Hoffman,42,F,8LPNY,647964,1850,3,10
Jennifer Cole,22,F,9LPNX,534874,740,1,4
Jill Edwards,48,F,4LPNY,535800,1110,3,6
Annette Sparks MD,21,F,8LPNZ,129695,370,3,2
Jennifer Johnson,47,F,7LPNW,404497,2775,3,15
Melissa Nelson,36,F,4LPNZ,558854,370,2,2
Joshua Williamson,29,M,8LPNW,291703,1665,3,9
Kimberly Williamson,37,F,6LPNX,917300,925,2,5
Bruce Garrett,47,M,1LPNW,660257,925,2,5
Lisa Lucas,26,F,5LPNX,703470,1480,2,8
Craig Hunt,49,M,2LPNW,637018,2035,3,11
Regina Green,18,F,7LPNZ,584896,370,3,2
Carol Olson,21,F,9LPNX,282989,370,2,2
Cynthia Hinton,30,F,3LPNX,373651,925,1,5
Kimberly Peterson,37,F,3LPNY,497994,1665,3,9
Melissa Wilcox,42,F,8LPNW,138178,925,1,5
Jennifer Burke,32,F,10LPNW,976278,740,2,4
Kiara Rose,39,F,4LPNW,235913,185,3,1
David Hess,19,M,5LPNY,157734,1850,2,10
Dawn Hickman,25,F,2LPNW,647723,555,3,3
Nicole Luna,47,F,4LPNW,231236,370,2,2
Donna Blankenship,31,F,8LPNW,492481,185,1,1
Thomas Bennett,30,M,6LPNX,191824,0,2,0
Michael Peters,26,M,1LPNX,183176,1850,3,10
Debra Ross,38,F,8LPNY,464779,925,1,5
Theresa Moore,26,F,4LPNY,601727,370,2,2
Kimberly Bowen,35,F,8LPNW,892138,2590,3,14
Paul Brown,36,M,1LPNW,910832,1295,2,7
Gwendolyn Perry,45,F,8LPNZ,251002,185,1,1
James Roberts,42,M,4LPNX,132129,1665,3,9
Scott Brown,27,M,3LPNZ,912643,1295,2,7
Crystal Ferguson,31,F,9LPNY,708177,0,2,0
Matthew Simpson,46,M,9LPNW,433143,2590,3,14
Anna Clark,37,F,9LPNZ,411437,185,2,1
Anthony Ford,47,M,1LPNW,528903,1850,3,10
Pedro Wilson,19,M,8LPNZ,294324,1850,3,10
Hannah Goodwin,36,F,7LPNX,837794,0,1,0
Ian Booker Jr.,35,M,6LPNY,637201,1850,2,10
Alicia Ramirez,37,F,10LPNZ,109248,555,2,3
Carolyn Rasmussen,29,F,1LPNZ,646309,2590,3,14
Anna Trujillo,20,F,10LPNZ,657299,555,1,3
Roger Dunn,42,M,5LPNX,548808,1480,2,8
David Parker,31,M,5LPNW,462444,925,3,5
Carol Hanson,37,F,4LPNY,358410,1480,2,8
Amy Sanchez,35,F,4LPNW,963719,0,3,0
Chad Moore,47,M,8LPNX,598615,925,1,5
Lisa Hansen,47,F,7LPNX,488654,370,3,2
Melinda Harrington,39,F,10LPNX,599736,1110,2,6
Lindsey Smith,24,F,5LPNX,220122,1110,2,6
Hayley Wells,32,F,3LPNY,281971,370,1,2
Paige Baker,19,F,2LPNY,608006,925,1,5
William Moreno,20,M,2LPNZ,884260,925,2,5
Gina Stone,41,F,4LPNY,734958,925,1,5
Edward Reyes,31,M,1LPNZ,380577,370,2,2
Susan Mullins,46,F,2LPNY,870282,2035,3,11
Patrick Morgan,40,M,6LPNZ,542997,1110,2,6
Melissa Sullivan,40,F,2LPNY,920163,185,2,1
Ronald Greene,32,M,1LPNZ,459523,555,3,3
Caitlin Lee,48,F,8LPNW,442603,1850,2,10
Lee Miller,18,M,1LPNZ,448091,555,3,3
Andrew Harris,21,M,1LPNW,813189,370,1,2
Brooke Jimenez,48,F,4LPNW,273252,2775,3,15
Bradley Schmitt,31,M,2LPNZ,973002,2775,3,15
Kimberly Cervantes,42,F,7LPNX,864520,740,2,4
Mr. Thomas Davis,44,M,10LPNX,882476,185,1,1
Erik Schmidt,19,M,3LPNY,288834,185,1,1
Joel Kirk,38,M,9LPNX,569809,185,1,1
Christina Dunn,39,F,10LPNX,625703,740,1,4
Martha Rowe,29,F,2LPNZ,237175,1295,2,7
Andrew Carter,24,M,5LPNX,419120,2405,3,13
William Allen,33,M,9LPNY,883249,185,1,1
Christopher Rodriguez,50,M,9LPNY,942652,925,2,5
Katelyn Fritz,34,F,10LPNW,917226,1295,2,7
Raymond Hodges,42,M,5LPNW,346017,1295,2,7
Jennifer Hall,45,F,7LPNY,189900,0,1,0
Sherri Cooper,20,F,2LPNX,442463,925,3,5
Shannon Jones,33,F,5LPNX,550050,185,1,1
Meredith Wells,44,F,5LPNY,806492,1480,2,8
Marilyn Gonzales,31,F,8LPNW,486874,740,3,4
Rachel Wallace,29,F,2LPNW,559802,925,1,5
Andrea Carroll,29,F,7LPNX,910105,2775,3,15
Cynthia Payne,40,F,1LPNX,634913,555,1,3
Anthony Moore,38,M,8LPNW,678611,555,3,3
Rebecca Beard,29,F,2LPNW,508512,370,2,2
Jessica Holland,40,F,9LPNW,528630,370,1,2
Donald Gill,42,M,2LPNW,744753,1295,2,7
Monique Simpson,32,F,2LPNX,906205,0,3,0
Jonathan Barnes,19,M,8LPNX,572812,1295,2,7
Patricia Johnson,29,F,5LPNZ,658986,370,3,2
Jeffrey Washington,24,M,6LPNX,443661,1665,2,9
Kathryn Roberts,39,F,5LPNX,717189,1665,3,9
Rachel Martinez,48,F,5LPNZ,262616,925,1,5
Emily Mccullough,48,F,3LPNZ,446224,1110,3,6
Alicia Rodriguez,29,F,9LPNX,820472,2405,3,13
Cynthia Fowler,37,F,10LPNY,577600,740,1,4
Sharon Wilkins,25,F,10LPNY,833663,370,2,2
April Richmond,39,F,9LPNY,183709,2775,3,15
Robert Norman,44,M,6LPNX,479080,2590,3,14
Richard Day,44,M,7LPNX,466915,2775,3,15
Sarah Clarke,37,F,10LPNX,621951,2220,3,12
Lisa Cunningham,28,F,2LPNY,959776,370,1,2
Abigail Moreno,24,F,9LPNZ,885033,0,3,0
Kenneth Wilson,18,M,3LPNY,334579,0,2,0
Edward Lopez,32,M,1LPNZ,990029,740,1,4
Alexis Mcdaniel,46,F,2LPNZ,496982,185,1,1
Emily Padilla,39,F,8LPNX,856480,925,2,5
Russell Meyer,29,M,7LPNZ,919225,925,2,5
Angela Gamble,34,F,8LPNX,811359,740,1,4
Amy Chen,36,F,8LPNX,321127,0,2,0
Christopher Salinas,22,M,9LPNW,127621,925,1,5
Dylan Stephens,48,M,5LPNX,916409,1480,2,8
Victoria Cooper,50,F,7LPNY,453831,185,1,1
Patricia Horton,34,F,2LPNX,376525,2775,3,15
Stacey Cardenas,50,F,4LPNX,593894,185,2,1
Dr. Toni Scott MD,47,F,9LPNZ,484795,370,1,2
Brandon Blankenship,19,M,9LPNX,420991,370,2,2
Tiffany Carney,50,F,1LPNY,826938,925,1,5
Robert Carter,40,M,4LPNZ,409078,370,3,2
Kendra Harris,24,F,5LPNY,835570,370,1,2
James Smith,37,M,7LPNW,498876,740,2,4
Casey Rosario,27,M,10LPNZ,778336,740,2,4
Alyssa Conner,33,F,8LPNZ,635144,555,2,3
Mike Flores,38,M,7LPNW,650472,1665,2,9
Christopher Scott,43,M,4LPNX,132231,0,1,0
Steven Brandt,21,M,2LPNX,597011,0,2,0
Kathryn Tran,34,F,6LPNY,313704,0,1,0
Peter Jackson,32,M,6LPNX,930159,555,1,3
Anita Garcia,49,F,6LPNZ,119488,370,2,2
Corey Mccullough,46,M,3LPNW,806821,925,1,5
Cindy Stout,23,F,5LPNX,607787,2405,3,13
Christine Richardson,24,F,10LPNY,696988,555,2,3
Jennifer Hicks,47,F,5LPNZ,928222,925,2,5
Jacqueline Collins,32,F,8LPNW,571210,1295,2,7
Gregory Knight,36,M,6LPNZ,909114,0,1,0
Eric Simmons,22,M,1LPNY,809686,1110,3,6
Gregory Parker,23,M,9LPNY,399819,0,1,0
Richard Mccoy,43,M,8LPNZ,611363,1665,2,9
Tara Huynh,41,F,3LPNX,619238,555,2,3
Chase Evans,28,M,1LPNY,450448,0,2,0
Patricia Farmer,24,F,1LPNY,808265,0,1,0
Robin Cobb,45,F,1LPNX,235080,370,2,2
Joseph Ortiz,22,M,2LPNZ,124907,740,3,4
Sarah Warren,48,F,5LPNX,968414,2035,3,11
